Execution number, image name, Provider name, Response Time (in seconds), Hausdorff Distance (in pixels), Precision (in per cents), Image Size (in KBs), Image Format
1º, Abdel_Nasser_Assidi_0001.jpg, FaceRect, 8.908702, error - archivo incorrecto para Hausdorff, 1.0, 15.665039, jpg
1º, Abdel_Nasser_Assidi_0002.jpg, FaceRect, 1.1072962, error - archivo incorrecto para Hausdorff, 1.0, 23.99121, jpg
1º, Abdoulaye_Wade_0001.jpg, FaceRect, 1.0150216, error - archivo incorrecto para Hausdorff, 1.0, 14.201172, jpg
1º, Abdoulaye_Wade_0002.jpg, FaceRect, 1.0234102, error - archivo incorrecto para Hausdorff, 1.0, 14.662109, jpg
1º, Abdoulaye_Wade_0003.jpg, FaceRect, 0.8262779, error - archivo incorrecto para Hausdorff, 1.0, 7.7041016, jpg
1º, Abdoulaye_Wade_0004.jpg, FaceRect, 1.0317988, error - archivo incorrecto para Hausdorff, 1.0, 13.526367, jpg
1º, Abdulaziz_Kamilov_0001.jpg, FaceRect, 1.1492393, error - archivo incorrecto para Hausdorff, 1.0, 13.649414, jpg
1º, Abdullah_0001.jpg, FaceRect, 0.8178893, error - archivo incorrecto para Hausdorff, 1.0, 10.751953, jpg
1º, Abdullah_0002.jpg, FaceRect, 1.0108273, error - archivo incorrecto para Hausdorff, 1.0, 14.421875, jpg
1º, Abdullah_0003.jpg, FaceRect, 0.91435826, error - archivo incorrecto para Hausdorff, 1.0, 10.4296875, jpg
1º, Abdullah_0004.jpg, FaceRect, 0.98566145, error - archivo incorrecto para Hausdorff, 1.0, 12.958008, jpg
1º, Abdullah_Ahmad_Badawi_0001.jpg, FaceRect, 0.89758104, error - archivo incorrecto para Hausdorff, 1.0, 13.024414, jpg
1º, Abdullah_al-Attiyah_0001.jpg, FaceRect, 0.8304722, error - no se encontraron caras en la imagen, error - no se encontraron caras en la imagen, 12.711914, jpg
1º, Abdullah_al-Attiyah_0002.jpg, FaceRect, 1.0066329, error - archivo incorrecto para Hausdorff, 1.0, 14.604492, jpg
1º, Abdullah_al-Attiyah_0003.jpg, FaceRect, 1.0234102, error - archivo incorrecto para Hausdorff, 1.0, 13.68457, jpg
1º, Abdullah_Gul_0001.jpg, FaceRect, 0.8933868, error - archivo incorrecto para Hausdorff, 1.0, 12.352539, jpg
1º, Abdullah_Gul_0002.jpg, FaceRect, 0.9437184, error - archivo incorrecto para Hausdorff, 1.0, 12.037109, jpg
1º, Abdullah_Gul_0003.jpg, FaceRect, 1.0611589, error - archivo incorrecto para Hausdorff, 1.0, 14.973633, jpg
1º, Abdullah_Gul_0004.jpg, FaceRect, 1.0192158, error - archivo incorrecto para Hausdorff, 1.0, 15.7578125, jpg
1º, Abdullah_Gul_0005.jpg, FaceRect, 0.9185526, error - archivo incorrecto para Hausdorff, 1.0, 13.017578, jpg
1º, Abdullah_Gul_0006.jpg, FaceRect, 1.0108273, error - archivo incorrecto para Hausdorff, 1.0, 13.146484, jpg
1º, Abdullah_Gul_0013.jpg, FaceRect, 0.98566145, error - archivo incorrecto para Hausdorff, 1.0, 15.783203, jpg
1º, Abdullah_Gul_0014.jpg, FaceRect, 0.9311355, error - archivo incorrecto para Hausdorff, 1.0, 12.121094, jpg
1º, Abdullah_Gul_0015.jpg, FaceRect, 1.0066329, error - archivo incorrecto para Hausdorff, 1.0, 13.288086, jpg
1º, Abdullah_Gul_0016.jpg, FaceRect, 0.87660956, error - no se encontraron caras en la imagen, error - no se encontraron caras en la imagen, 16.887695, jpg
1º, Abdullah_Gul_0017.jpg, FaceRect, 1.0108273, error - archivo incorrecto para Hausdorff, 1.0, 13.975586, jpg
1º, Abdullah_Gul_0018.jpg, FaceRect, 0.98566145, error - archivo incorrecto para Hausdorff, 1.0, 13.879883, jpg
1º, Abdullah_Gul_0019.jpg, FaceRect, 1.0234102, error - archivo incorrecto para Hausdorff, 1.0, 13.629883, jpg
1º, Abdullah_Nasseef_0001.jpg, FaceRect, 0.9688842, error - archivo incorrecto para Hausdorff, 1.0, 14.430664, jpg
